book_id,ten_sach,tac_gia,the_loai,so_trang,loai_sach,diem_danh_gia,nam_xuat_ban,quoc_gia,gia_sach,price_range,rating_level
1,Đắc Nhân Tâm,Dale Carnegie,Business,408,Truyện chữ,4.0,2020,USA,288000,High,Good
2,Nhà Giả Kim,Paulo Coelho,Literature,748,Truyện chữ,3.2,2020,Brazil,228000,Medium,Low
3,Sapiens,Yuval Noah Harari,Manga,455,Truyện tranh,4.4,2017,Israel,256000,High,Good
4,Atomic Habits,James Clear,Classic,433,Truyện tranh,3.8,2014,USA,237000,Medium,Average
5,Think and Grow Rich,Napoleon Hill,Business,342,Truyện chữ,4.1,2013,USA,292000,High,Good
6,Doraemon,Fujiko F. Fujio,Self-help,826,Truyện chữ,4.4,2021,Japan,341000,High,Good
7,One Piece,Eiichiro Oda,History,452,Truyện chữ,4.8,2016,Japan,99000,Low,Excellent
8,Naruto,Masashi Kishimoto,Classic,747,Truyện tranh,5.0,2023,Japan,260000,High,Excellent
9,Dragon Ball,Akira Toriyama,Romance,893,Truyện tranh,3.6,2018,Japan,268000,High,Average
10,Conan,Gosho Aoyama,Business,669,Truyện chữ,4.7,2023,Japan,175000,Medium,Excellent
11,Harry Potter,J.K. Rowling,Business,450,Truyện chữ,4.0,2021,UK,176000,Medium,Good
12,The Hobbit,J.R.R. Tolkien,Fantasy,846,Truyện chữ,4.4,2013,UK,197000,Medium,Good
13,Foundation,Dan Brown,Romance,464,Truyện chữ,4.6,2015,UK,217000,Medium,Excellent
14,Dune,Frank Herbert,History,749,Truyện chữ,4.0,2011,USA,108000,Low,Good
15,1984,George Orwell,Self-help,799,Truyện tranh,4.2,2019,UK,328000,High,Good
16,Cà Phê Cùng Tony,George Orwell,Self-help,349,Truyện tranh,3.4,2020,UK,236000,Medium,Low
17,Quê Hương Tuổi Thơ,Osamu Dazai,Fantasy,573,Truyện chữ,4.8,2012,Japan,185000,Medium,Excellent
18,Số Đỏ,Vũ Trọng Phụng,Classic,500,Truyện chữ,5.0,2024,Vietnam,155000,Medium,Excellent
19,Chí Phèo,Nam Cao,Psychology,473,Truyện tranh,3.5,2011,Vietnam,254000,High,Average
20,Đất Rừng Phương Nam,Tô Hoài,Self-help,796,Truyện chữ,3.8,2010,Vietnam,317000,High,Average
21,Rich Dad Poor Dad,Victor Hugo,Business,430,Truyện chữ,4.6,2012,France,163000,Medium,Excellent
22,The Intelligent Investor,George Orwell,Fantasy,651,Truyện chữ,3.4,2016,UK,291000,High,Low
23,Zero to One,Victor Hugo,Romance,589,Truyện chữ,3.9,2010,France,185000,Medium,Average
24,Good to Great,Mark Twain,Classic,898,Truyện chữ,4.9,2024,USA,180000,Medium,Excellent
25,Start with Why,Osamu Dazai,Classic,168,Truyện tranh,3.2,2021,Japan,199000,Medium,Low
26,Sherlock Holmes,J.K. Rowling,Literature,860,Truyện chữ,3.8,2011,UK,344000,High,Average
27,Agatha Christie Collection,Nam Cao,Fantasy,752,Truyện chữ,3.5,2023,Vietnam,236000,Medium,Average
28,Gone Girl,Alexandre Dumas,Manga,447,Truyện tranh,4.0,2018,Japan,257000,High,Good
29,The Girl on the Train,Agatha Christie,Self-help,594,Truyện tranh,5.0,2015,UK,268000,High,Excellent
30,Big Little Lies,J.K. Rowling,History,342,Truyện chữ,4.9,2024,UK,90000,Low,Excellent
31,Lịch Sử Loài Người,Natsume Soseki,Classic,383,Truyện chữ,4.5,2012,Japan,91000,Low,Excellent
32,Thế Giới Phẳng,Tô Hoài,Psychology,753,Truyện tranh,3.5,2015,Vietnam,277000,High,Average
33,Freakonomics,Nguyễn Nhật Ánh,Psychology,805,Truyện chữ,4.6,2019,Vietnam,105000,Low,Excellent
34,Outliers,Nam Cao,Literature,827,Truyện chữ,4.4,2010,Vietnam,141000,Medium,Good
35,Tipping Point,Dan Brown,Business,576,Truyện chữ,3.9,2018,USA,329000,High,Average
36,Romeo and Juliet,Nam Cao,Romance,868,Truyện chữ,3.6,2020,Vietnam,238000,Medium,Average
37,Pride and Prejudice,Ernest Hemingway,Classic,580,Truyện tranh,3.4,2018,UK,152000,Medium,Low
38,Jane Eyre,Victor Hugo,Manga,578,Truyện tranh,4.7,2011,UK,142000,Medium,Excellent
39,Wuthering Heights,Natsume Soseki,Literature,439,Truyện chữ,4.6,2017,UK,185000,Medium,Excellent
40,Great Expectations,Agatha Christie,Self-help,419,Truyện tranh,5.0,2015,UK,235000,Medium,Excellent
41,Kỹ Năng Giao Tiếp,Haruki Murakami,Romance,314,Truyện chữ,4.2,2024,Japan,332000,High,Good
42,Nghệ Thuật Lãnh Đạo,Tô Hoài,Business,488,Truyện chữ,3.2,2020,Vietnam,138000,Medium,Low
43,Tư Duy Nhanh Chậm,Ngô Tất Tố,Manga,737,Truyện tranh,4.4,2012,Japan,348000,High,Good
44,Sức Mạnh Hiện Tại,Ernest Hemingway,Business,226,Truyện tranh,4.5,2024,USA,201000,Medium,Excellent
45,Mindset,Tô Hoài,Business,617,Truyện chữ,3.7,2010,Vietnam,172000,Medium,Average
46,Bá Tước Monte Cristo,Ernest Hemingway,Fantasy,190,Truyện chữ,3.8,2020,USA,303000,High,Average
47,Ba Chàng Lính Ngự Lâm,Ngô Tất Tố,Self-help,268,Truyện chữ,4.7,2024,Vietnam,85000,Low,Excellent
